indicator_id,indicator_title,year,value,unit,geography,disaggregation,source_organization,source_dataset,source_url,retrieval_method,retrieval_date,methodology_variant,validation_status,data_warning
17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of OECD Development Assistance Committee donors' gross national income (GNI)",2000,0.1002658004733847006093569018,percent of GNI,United States,"{""component"":""Total ODA""}",Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_net_oda_percent_gni,current_methodology_verified,The canonical calculation uses formal net ODA flows. OECD also publishes post-2018 headline ODA on a grant-equivalent basis; that series is kept only as an audit comparison and is not substituted for net ODA. The archived 2015 zero is a placeholder and is not validation data.
17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of OECD Development Assistance Committee donors' gross national income (GNI)",2000,0.02006959762300448204663342902,percent of GNI,United States,"{""component"":""Least developed countries""}",Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private) | OECD DAC2A: Aid (ODA) disbursements to countries and regions,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels | https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_net_oda_percent_gni,current_methodology_verified,The canonical calculation uses formal net ODA flows. OECD also publishes post-2018 headline ODA on a grant-equivalent basis; that series is kept only as an audit comparison and is not substituted for net ODA. The archived 2015 zero is a placeholder and is not validation data.
17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of OECD Development Assistance Committee donors' gross national income (GNI)",2001,0.1125057831064386892281644666,percent of GNI,United States,"{""component"":""Total ODA""}",Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_net_oda_percent_gni,current_methodology_verified,The canonical calculation uses formal net ODA flows. OECD also publishes post-2018 headline ODA on a grant-equivalent basis; that series is kept only as an audit comparison and is not substituted for net ODA. The archived 2015 zero is a placeholder and is not validation data.
17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of OECD Development Assistance Committee donors' gross national income (GNI)",2001,0.02171859157979702526848379254,percent of GNI,United States,"{""component"":""Least developed countries""}",Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private) | OECD DAC2A: Aid (ODA) disbursements to countries and regions,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels | https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_net_oda_percent_gni,current_methodology_verified,The canonical calculation uses formal net ODA flows. OECD also publishes post-2018 headline ODA on a grant-equivalent basis; that series is kept only as an audit comparison and is not substituted for net ODA. The archived 2015 zero is a placeholder and is not validation data.
17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of OECD Development Assistance Committee donors' gross national income (GNI)",2002,0.1266903395550132504623362758,percent of GNI,United States,"{""component"":""Total ODA""}",Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_net_oda_percent_gni,current_methodology_verified,The canonical calculation uses formal net ODA flows. OECD also publishes post-2018 headline ODA on a grant-equivalent basis; that series is kept only as an audit comparison and is not substituted for net ODA. The archived 2015 zero is a placeholder and is not validation data.
17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of OECD Development Assistance Committee donors' gross national income (GNI)",2002,0.02901612933976473279823072963,percent of GNI,United States,"{""component"":""Least developed countries""}",Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private) | OECD DAC2A: Aid (ODA) disbursements to countries and regions,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels | https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_net_oda_percent_gni,current_methodology_verified,The canonical calculation uses formal net ODA flows. OECD also publishes post-2018 headline ODA on a grant-equivalent basis; that series is kept only as an audit comparison and is not substituted for net ODA. The archived 2015 zero is a placeholder and is not validation data.
17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of OECD Development Assistance Committee donors' gross national income (GNI)",2003,0.1486178678172747853993220932,percent of GNI,United States,"{""component"":""Total ODA""}",Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_net_oda_percent_gni,current_methodology_verified,The canonical calculation uses formal net ODA flows. OECD also publishes post-2018 headline ODA on a grant-equivalent basis; that series is kept only as an audit comparison and is not substituted for net ODA. The archived 2015 zero is a placeholder and is not validation data.
17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of OECD Development Assistance Committee donors' gross national income (GNI)",2003,0.04270922313917124888214584286,percent of GNI,United States,"{""component"":""Least developed countries""}",Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private) | OECD DAC2A: Aid (ODA) disbursements to countries and regions,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels | https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_net_oda_percent_gni,current_methodology_verified,The canonical calculation uses formal net ODA flows. OECD also publishes post-2018 headline ODA on a grant-equivalent basis; that series is kept only as an audit comparison and is not substituted for net ODA. The archived 2015 zero is a placeholder and is not validation data.
17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of OECD Development Assistance Committee donors' gross national income (GNI)",2004,0.1690521966590912405596721376,percent of GNI,United States,"{""component"":""Total ODA""}",Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_net_oda_percent_gni,current_methodology_verified,The canonical calculation uses formal net ODA flows. OECD also publishes post-2018 headline ODA on a grant-equivalent basis; that series is kept only as an audit comparison and is not substituted for net ODA. The archived 2015 zero is a placeholder and is not validation data.
17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of OECD Development Assistance Committee donors' gross national income (GNI)",2004,0.04246691220312780164222883964,percent of GNI,United States,"{""component"":""Least developed countries""}",Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private) | OECD DAC2A: Aid (ODA) disbursements to countries and regions,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels | https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_net_oda_percent_gni,current_methodology_verified,The canonical calculation uses formal net ODA flows. OECD also publishes post-2018 headline ODA on a grant-equivalent basis; that series is kept only as an audit comparison and is not substituted for net ODA. The archived 2015 zero is a placeholder and is not validation data.
